"","city_name","word","word_freq","odd_ratio"
"128","oslo","running",953,0.627355089032954
"129","goteborg","week",941,0.943302836616509
"130","uppsala","day",931,0.916613436281389
"131","reykjavik","running",930,0.512879426194321
"132","oslo","nice",924,0.926370590362359
"133","reykjavik","stay",920,1.32090429369743
"134","copenhagen","bit",919,1.01856924040616
"135","reykjavik","tomorrow",917,0.962269336133093
"136","goteborg","night",912,0.986681358855938
"137","turku","day",911,1.20267690257869
"138","vantaa","airport",909,17.6716846413823
"139","oslo","ready",908,1.18787171112447
"140","helsinki","months",905,1.11770519852645
"141","reykjavik","head",895,1.55482001725141
"142","helsinki","yesterday",893,1.04385806535744
"143","reykjavik","spent",892,1.45409656169839
"144","copenhagen","ago",882,0.949289524219008
"145","reykjavik","nice",882,0.76227011403913
"146","vantaa","time",882,1.26442627556102
"147","oslo","walk",876,0.889642865608165
"148","oslo","weekend",872,1.19072660878468
"149","helsinki","training",852,1.06819606692846
"150","helsinki","bit",849,1.26687719162091
"151","reykjavik","yesterday",848,1.20434020655205
"152","helsinki","plan",847,1.1180976744036
"153","trondheim","time",847,1.16196498577684
"154","uppsala","time",836,1.10857947374169
"155","stockholm","wake",828,0.961932383032907
"156","helsinki","office",819,1.55675856773454
"157","copenhagen","spent",813,0.947174029844002
"158","helsinki","move",813,1.08189497369716
"159","reykjavik","excited",811,1.01851555449608
"160","tampere","finished",809,4.1370905673686
"161","copenhagen","pm",805,0.974340584234774
"162","helsinki","stay",805,1.0518658314205
"163","malmo","start",796,1.03220185083494
"164","copenhagen","friday",783,0.867176268876954
"165","vantaa","day",771,0.7275654698034
"166","copenhagen","sunday",769,1.0671266015883
"167","oslo","move",766,1.11214279834975
"168","reykjavik","bit",765,1.04648797177869
"169","copenhagen","office",763,0.891850697044033
"170","helsinki","walk",760,0.640464203597829
"171","stockholm","monday",756,1.1152002764274
"172","oslo","yesterday",753,0.961060114785081
"173","helsinki","ago",751,0.935439949553728
"174","goteborg","morning",750,0.921350274884435
"175","goteborg","running",746,1.05629912232435
"176","helsinki","head",746,0.968850469491202
"177","reykjavik","ready",742,0.817286201039069
"178","oslo","stay",739,1.09708704106387
"179","tampere","km",722,3.77048010635784
"180","malmo","week",720,1.04031323929386
"181","stockholm","short",713,0.955212745746682
"182","goteborg","home",710,0.885740056692401
"183","stockholm","class",692,1.14732122757024
"184","stockholm","couple",692,0.957673143734528
"185","tampere","endorphins",691,4.31306714355576
"186","helsinki","minutes",687,1.39314332749281
"187","reykjavik","plane",686,4.83495209071668
"188","stockholm","fast",679,1.14965044509837
"189","helsinki","spent",676,1.09690172288801
"190","helsinki","friday",673,1.08663987325912
"191","oslo","months",673,1.18972689637012
"192","stockholm","past",672,0.991897607290754
"193","reykjavik","months",669,0.889948100532892
"194","stockholm","decided",667,1.00654536443271
"195","goteborg","nice",662,1.18156224293345
"196","stockholm","catch",661,0.956891602508344
"197","goteborg","fun",651,1.37113726427856
"198","copenhagen","minutes",649,0.910123638170983
"199","goteborg","left",649,1.02831258000188
"200","helsinki","pm",648,1.23490312730683
"201","reykjavik","move",645,0.896831726051968
"202","stockholm","flying",641,0.88626404440127
"203","espoo","start",636,1.37350474254102
"204","goteborg","wait",636,0.908245536914016
"205","oslo","head",631,1.00869214094817
"206","stockholm","safe",631,0.886914133793538
